City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
4,Vaini,TO,87.96,scattered clouds,-21.2,-175.2,Keleti Beach Resort
5,Hithadhoo,MV,83.12,overcast clouds,-0.6,73.0833,Scoop Guest House
6,Cayenne,GF,81.09,few clouds,4.9333,-52.3333,Hôtel Le Dronmi
11,Puerto Ayora,EC,77.81,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
14,Dingle,PH,79.0,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
17,Avarua,CK,86.05,overcast clouds,-21.2078,-159.775,Paradise Inn
24,Bathsheba,BB,77.61,broken clouds,13.2167,-59.5167,Atlantis Hotel
25,Acarau,BR,77.47,overcast clouds,-2.8856,-40.12,castelo pizzaria
33,Butaritari,KI,80.22,light rain,3.0707,172.7902,Isles Sunset Lodge
35,Buala,SB,85.05,light rain,-8.145,159.5921,Maringe Lagoon Lodge
37,Victoria,HK,76.96,clear sky,22.2855,114.1577,Mini Hotel Central
38,Rikitea,PF,79.14,light rain,-23.1203,-134.9692,People ThankYou
40,Hilo,US,75.25,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
43,Tabou,CI,81.0,overcast clouds,4.423,-7.3528,hotêl doufoulougou
51,Harper,LR,81.07,overcast clouds,4.375,-7.7169,Screensaver
53,Hobyo,SO,81.55,scattered clouds,5.3505,48.5268,Iftin hotel hobyo
55,Port Augusta,AU,78.78,clear sky,-32.5,137.7667,Majestic Oasis Apartments
63,Saint George,US,85.24,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
70,Pandan,PH,79.92,overcast clouds,14.0453,124.1694,Bonifacio Lodge
71,Kapaa,US,80.11,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
77,Saint-Philippe,RE,76.59,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
79,Sur,OM,84.85,broken clouds,22.5667,59.5289,Sur Plaza Hotel
80,Angoche,MZ,75.74,scattered clouds,-16.2325,39.9086,Guest House HESADA
82,Samarai,PG,82.13,overcast clouds,-10.6167,150.6667,Nuli Sapi
83,Cabo San Lucas,MX,85.3,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
84,Victoria Point,AU,77.68,scattered clouds,-27.5833,153.3,Bay Retreat Motel
88,Mahebourg,MU,76.24,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
89,Souillac,MU,75.58,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
92,Mangrol,IN,80.89,clear sky,21.1167,70.1167,Hotel The Royal Honours
95,Ambulu,ID,79.16,scattered clouds,-8.345,113.6058,Hotel Ambulu Jember
96,Lompoc,US,87.78,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
101,Hurricane,US,84.54,few clouds,37.1753,-113.2899,Super 8 by Wyndham Hurricane Zion National Park
111,Bengkulu,ID,77.14,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
120,Isangel,VU,85.06,overcast clouds,-19.55,169.2667,Tanna Lodge
121,Carutapera,BR,75.34,light rain,-1.195,-46.02,Lidera
127,Tarakan,ID,81.9,light rain,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
139,The Valley,AI,78.82,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
145,Sao Filipe,CV,76.19,scattered clouds,14.8961,-24.4956,Hotel Xaguate
150,Atuona,PF,79.74,overcast clouds,-9.8,-139.0333,Villa Enata
154,Caucaia,BR,77.04,clear sky,-3.7361,-38.6531,M.O.S. Logística - Filial Fortaleza
155,Boa Vista,BR,85.98,few clouds,2.8197,-60.6733,Aipana Plaza Hotel
158,Hurghada,EG,77.04,clear sky,27.2574,33.8129,Sea Star Beau Rivage Hotel
166,Karia,NG,82.11,overcast clouds,11.7306,11.1629,Kasakchiya Luxury Suites
176,Sao Joao Da Barra,BR,76.3,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
177,Kudahuvadhoo,MV,84.24,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
193,Acapulco,MX,80.42,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
198,Dwarka,IN,79.72,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
200,Kavieng,PG,80.4,moderate rain,-2.5744,150.7967,Nusa Island Retreat
201,Nabire,ID,77.04,overcast clouds,-3.3667,135.4833,Hotel Nusantara I
204,Limbang,MY,77.11,overcast clouds,4.75,115.0,Purnama Hotel
209,Bambous Virieux,MU,76.21,broken clouds,-20.3428,57.7575,Casa Tia Villa
216,Vao,NC,77.43,few clouds,-22.6667,167.4833,Hotel Kou-Bugny
217,Hervey Bay,AU,77.02,overcast clouds,-25.2986,152.8535,Shelly Bay Resort
220,Sambava,MG,75.42,overcast clouds,-14.2667,50.1667,Melrose
226,Faanui,PF,82.67,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
227,Meulaboh,ID,78.03,scattered clouds,4.1363,96.1285,Kost Pria
228,San Policarpo,PH,76.33,overcast clouds,12.1791,125.5072,Agapita M. Nicart
238,Kloulklubed,PW,81.1,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
243,Aswan,EG,87.1,clear sky,24.0934,32.907,Nuba Nile
256,Caravelas,BR,76.46,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
258,Soyo,AO,77.83,broken clouds,-6.1349,12.3689,Hotel Mpampa
261,Sinnamary,GF,77.09,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
273,Kahului,US,84.22,broken clouds,20.8947,-156.47,Maui Seaside Hotel
274,Bandarbeyla,SO,79.12,overcast clouds,9.4942,50.8122,JABIR HOTEL
276,Pivijay,CO,79.09,overcast clouds,10.4617,-74.6162,Hospedaje La Posada
281,Saint-Joseph,RE,75.58,light rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
283,Axim,GH,81.1,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
284,Kawalu,ID,76.55,overcast clouds,-7.3817,108.2082,West Jontor
285,Jose Bonifacio,BR,79.86,overcast clouds,-21.0528,-49.6883,HOTEL DOS VIAJANTES
291,Georgetown,MY,80.53,few clouds,5.4112,100.3354,Cititel Penang
299,Manpur,IN,76.89,clear sky,22.4333,75.6167,Manpur Guest House PWD
300,Arraial Do Cabo,BR,76.48,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
301,Ambunti,PG,83.89,overcast clouds,-4.2365,142.8448,AMBUNTI HIDE INN
308,Santa Rosa,PH,85.01,broken clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
314,Camocim,BR,76.73,overcast clouds,-2.9022,-40.8411,Ilha Praia Hotel
319,San Patricio,US,77.09,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
324,Mogadishu,SO,81.5,broken clouds,2.0371,45.3438,Hotel Juba
328,Luwuk,ID,84.54,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
336,Cienfuegos,CU,78.94,overcast clouds,22.1461,-80.4356,Casa Claumar B2BPay
337,Cozumel,MX,75.94,overcast clouds,20.5083,-86.9458,Cozumel Palace® All Inclusive Resort
339,Gladstone,AU,75.13,scattered clouds,-23.85,151.25,Highpoint International Hotel
342,Alofi,NU,85.89,few clouds,-19.0595,-169.9187,Taloa Heights
354,Dakar,SN,77.88,clear sky,14.6937,-17.4441,Novotel Dakar
356,Salalah,OM,78.87,overcast clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
357,Vemalwada,IN,79.07,broken clouds,18.4667,78.8833,Hotel Lakshmi Niharika
358,Otukpo,NG,80.71,overcast clouds,7.1913,8.1329,Queen s Hotel
359,Saint-Pierre,RE,76.68,overcast clouds,-21.3393,55.4781,Lindsey Hôtel
360,Kavaratti,IN,83.3,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
361,Lufilufi,WS,89.38,clear sky,-13.8745,-171.5986,Leuaina Beach Resort and Spa
362,Hambantota,LK,78.13,broken clouds,6.1241,81.1185,Bungalow 63
363,Saint-Leu,RE,76.06,clear sky,-21.15,55.2833,La Caz Oceane
366,Ambon,ID,87.94,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
369,Itarema,BR,76.78,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
382,Humaita,BR,75.38,light rain,-7.5061,-63.0208,Corrêa Hotel
384,Padang,ID,75.25,moderate rain,-0.9492,100.3543,Mercure Padang
387,Belmonte,BR,77.38,clear sky,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
389,Progreso,MX,77.11,few clouds,21.2833,-89.6667,Playa Linda Hotel
