City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Nouadhibou,MR,2022-04-11 22:21:38,20.931,-17.0347,66.18,72,68,19.57,broken clouds
1,Ushuaia,AR,2022-04-11 22:19:17,-54.8,-68.3,42.46,70,75,14.97,broken clouds
2,Buala,SB,2022-04-11 22:22:01,-8.145,159.5921,83.44,72,91,5.64,light rain
3,Bluff,NZ,2022-04-11 22:20:35,-46.6,168.3333,50.81,65,100,19.28,overcast clouds
4,Cockburn Town,TC,2022-04-11 22:21:57,21.4612,-71.1419,76.48,80,11,25.64,few clouds
5,Poya,NC,2022-04-11 22:24:18,-21.35,165.15,78.57,80,13,4.16,few clouds
6,Hermanus,ZA,2022-04-11 22:20:43,-34.4187,19.2345,67.37,59,1,4.72,clear sky
7,Tual,ID,2022-04-11 22:20:57,-5.6667,132.75,83.19,72,89,5.55,moderate rain
8,Vardo,NO,2022-04-11 22:21:23,70.3705,31.1107,32.74,99,100,2.35,snow
9,Vaini,TO,2022-04-11 22:20:05,-21.2,-175.2,84.36,84,75,9.22,broken clouds
10,Melbu,NO,2022-04-11 22:24:24,68.5044,14.8297,33.62,86,40,9.22,scattered clouds
11,Balloch,GB,2022-04-11 22:24:25,56.0,-4.5833,48.16,81,100,17.27,light rain
12,Punta Arenas,CL,2022-04-11 22:20:32,-53.15,-70.9167,44.71,70,75,11.5,broken clouds
13,Vila Velha,BR,2022-04-11 22:21:29,-20.3297,-40.2925,80.55,86,75,3.44,broken clouds
14,Laramie,US,2022-04-11 22:22:54,41.3114,-105.5911,50.54,31,92,26.49,overcast clouds
15,Eureka,US,2022-04-11 22:21:17,40.8021,-124.1637,49.93,54,53,8.01,broken clouds
16,Gualaquiza,EC,2022-04-11 22:22:34,-3.4,-78.55,72.55,87,51,1.77,light rain
17,Atuona,PF,2022-04-11 22:19:42,-9.8,-139.0333,78.73,79,23,15.23,few clouds
18,Lebu,CL,2022-04-11 22:21:19,-37.6167,-73.65,54.43,80,100,5.39,overcast clouds
19,Pokrovsk,UA,2022-04-11 22:24:33,48.282,37.1758,54.39,86,99,7.02,overcast clouds
20,Port Alfred,ZA,2022-04-11 22:19:36,-33.5906,26.891,67.17,86,100,1.01,overcast clouds
21,Ola,RU,2022-04-11 22:24:34,59.5833,151.2833,8.15,70,0,8.21,clear sky
22,Vestmannaeyjar,IS,2022-04-11 22:17:00,63.4427,-20.2734,40.51,70,100,23.24,overcast clouds
23,Jamestown,US,2022-04-11 22:19:24,42.097,-79.2353,55.04,68,100,10.36,moderate rain
24,Bundaberg,AU,2022-04-11 22:24:38,-24.85,152.35,76.21,84,13,8.05,few clouds
25,Hobart,AU,2022-04-11 22:19:39,-42.8794,147.3294,53.46,70,40,6.91,scattered clouds
26,Mataura,NZ,2022-04-11 22:19:48,-46.1927,168.8643,49.48,96,100,4.56,overcast clouds
27,Saint-Philippe,RE,2022-04-11 22:20:35,-21.3585,55.7679,76.59,84,96,14.7,light rain
28,Kapaa,US,2022-04-11 22:20:49,22.0752,-159.319,80.58,75,40,11.5,scattered clouds
29,Tasiilaq,GL,2022-04-11 22:19:37,65.6145,-37.6368,15.96,87,100,4.27,overcast clouds
30,Airai,TL,2022-04-11 22:20:45,-8.9266,125.4092,58.64,66,78,2.17,broken clouds
31,Bereda,ES,2022-04-11 22:24:40,43.2686,-7.5406,48.15,90,17,3.6,few clouds
32,Gemena,CD,2022-04-11 22:24:41,3.25,19.7667,70.52,87,26,1.23,scattered clouds
33,Guerrero Negro,MX,2022-04-11 22:22:42,27.9769,-114.0611,68.61,52,0,14.85,clear sky
34,Georgetown,MY,2022-04-11 22:20:32,5.4112,100.3354,78.73,94,20,3.44,few clouds
35,Daru,PG,2022-04-11 22:24:41,-9.0763,143.2092,83.17,83,52,8.75,broken clouds
36,Yunyang,CN,2022-04-11 22:24:41,33.4474,112.7142,65.44,51,100,15.28,light rain
37,Naze,JP,2022-04-11 22:20:48,28.3667,129.4833,68.92,89,16,2.44,few clouds
38,Port Hedland,AU,2022-04-11 22:22:42,-20.3167,118.5667,71.65,88,1,5.75,clear sky
39,Port Elizabeth,ZA,2022-04-11 22:19:48,-33.918,25.5701,65.32,91,0,11.5,clear sky
40,Jacareacanga,BR,2022-04-11 22:21:43,-6.2222,-57.7528,76.23,94,79,1.14,broken clouds
41,Faanui,PF,2022-04-11 22:20:36,-16.4833,-151.75,82.2,70,9,15.66,clear sky
42,Hofn,IS,2022-04-11 22:20:43,64.2539,-15.2082,34.47,83,100,16.31,light snow
43,Saskylakh,RU,2022-04-11 22:20:38,71.9167,114.0833,-9.38,100,100,1.88,overcast clouds
44,Adrar,MR,2022-04-11 22:22:01,20.5022,-10.0711,84.31,5,100,5.12,overcast clouds
45,Nanortalik,GL,2022-04-11 22:20:41,60.1432,-45.2371,34.03,75,100,9.08,overcast clouds
46,Naryan-Mar,RU,2022-04-11 22:21:51,67.6713,53.087,33.94,96,100,9.89,overcast clouds
47,Carnarvon,AU,2022-04-11 22:20:44,-24.8667,113.6333,60.87,77,7,9.22,clear sky
48,Rikitea,PF,2022-04-11 22:17:27,-23.1203,-134.9692,79.07,71,0,15.28,clear sky
49,Albany,US,2022-04-11 22:15:58,42.6001,-73.9662,60.03,32,93,3.0,overcast clouds
50,Aleksandrovsk-Sakhalinskiy,RU,2022-04-11 22:24:43,50.8975,142.1561,31.5,87,100,5.53,light snow
51,Thompson,CA,2022-04-11 22:20:52,55.7435,-97.8558,32.16,55,100,3.44,overcast clouds
52,Asau,RO,2022-04-11 22:24:43,46.4333,26.4,38.32,85,31,4.59,scattered clouds
53,Tuatapere,NZ,2022-04-11 22:19:34,-46.1333,167.6833,50.79,80,96,10.02,overcast clouds
54,Busselton,AU,2022-04-11 22:20:44,-33.65,115.3333,56.17,91,0,9.28,clear sky
55,Klaksvik,FO,2022-04-11 22:20:55,62.2266,-6.589,41.92,76,100,26.42,overcast clouds
56,Presidencia Roque Saenz Pena,AR,2022-04-11 22:24:44,-26.7852,-60.4388,69.39,98,100,8.99,overcast clouds
57,Upernavik,GL,2022-04-11 22:20:51,72.7868,-56.1549,15.03,95,100,8.48,light snow
58,Muros,ES,2022-04-11 22:23:26,42.7762,-9.0603,56.84,81,50,19.13,light rain
59,Yellowknife,CA,2022-04-11 22:19:16,62.456,-114.3525,16.32,62,75,16.11,light snow
60,Bethel,US,2022-04-11 22:19:18,41.3712,-73.414,61.65,37,0,11.5,clear sky
61,Bulgan,MN,2022-04-11 22:23:41,48.8125,103.5347,17.58,78,80,3.76,broken clouds
62,Ishigaki,JP,2022-04-11 22:22:42,24.3448,124.1572,73.53,100,75,5.75,broken clouds
63,Sitka,US,2022-04-11 22:20:45,57.0531,-135.33,37.29,23,20,20.71,few clouds
64,Leningradskiy,RU,2022-04-11 22:21:33,69.3833,178.4167,-6.68,84,12,0.67,few clouds
65,Kirakira,SB,2022-04-11 22:21:33,-10.4544,161.9205,83.77,71,54,5.55,broken clouds
66,Lompoc,US,2022-04-11 22:19:49,34.6391,-120.4579,67.57,85,100,23.0,mist
67,Jiayuguan,CN,2022-04-11 22:20:41,39.8167,98.3,41.59,24,68,6.17,broken clouds
68,Ilek,RU,2022-04-11 22:24:45,51.5271,53.3831,50.45,82,98,6.64,overcast clouds
69,Mae Chan,TH,2022-04-11 22:24:45,20.1467,99.8526,77.79,52,79,1.63,broken clouds
70,Kawalu,ID,2022-04-11 22:24:46,-7.3817,108.2082,71.26,96,48,1.99,scattered clouds
71,Monte Alegre,BR,2022-04-11 22:24:46,-2.0078,-54.0692,77.59,89,89,3.53,overcast clouds
72,Mar Del Plata,AR,2022-04-11 22:17:28,-38.0023,-57.5575,59.09,88,20,12.66,few clouds
73,Nikolskoye,RU,2022-04-11 22:20:49,59.7035,30.7861,36.72,97,33,2.91,scattered clouds
74,Moroni,KM,2022-04-11 22:24:47,-11.7022,43.2551,80.2,80,73,0.74,broken clouds
75,Katsuura,JP,2022-04-11 22:21:52,35.1333,140.3,63.25,87,100,10.69,overcast clouds
76,Porto Murtinho,BR,2022-04-11 22:24:47,-21.6989,-57.8825,93.15,35,67,8.23,broken clouds
77,Ca Mau,VN,2022-04-11 22:21:58,9.1769,105.15,75.67,91,10,3.02,clear sky
78,Dawlatabad,AF,2022-04-11 22:24:48,36.4141,64.9053,61.86,56,3,0.65,clear sky
79,Hailey,US,2022-04-11 22:24:48,43.5196,-114.3153,34.9,81,100,15.01,overcast clouds
