City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Port Alfred,ZA,2022-04-09 00:46:49,-33.5906,26.891,56.17,95,88,9.71,overcast clouds
1,Klyuchi,RU,2022-04-09 00:46:50,52.2667,79.1667,33.96,70,0,6.62,clear sky
2,Hobart,AU,2022-04-09 00:46:51,-42.8794,147.3294,69.22,61,75,12.66,broken clouds
3,Cherskiy,RU,2022-04-09 00:46:52,68.75,161.3,-6.57,84,32,5.35,scattered clouds
4,Vaini,TO,2022-04-09 00:46:53,-21.2,-175.2,87.96,70,40,4.61,scattered clouds
5,Hithadhoo,MV,2022-04-09 00:46:54,-0.6,73.0833,83.12,68,97,9.35,overcast clouds
6,Cayenne,GF,2022-04-09 00:46:55,4.9333,-52.3333,81.09,1,20,7.0,few clouds
7,Bethel,US,2022-04-09 00:44:39,41.3712,-73.414,53.69,58,40,3.44,scattered clouds
8,Ranong,TH,2022-04-09 00:46:55,9.9658,98.6348,73.33,81,11,2.37,few clouds
9,Zatoka,UA,2022-04-09 00:46:56,46.0725,30.4654,50.0,75,22,9.66,few clouds
10,Punta Arenas,CL,2022-04-09 00:45:39,-53.15,-70.9167,41.11,87,0,8.05,clear sky
11,Puerto Ayora,EC,2022-04-09 00:46:56,-0.7393,-90.3518,77.81,86,41,5.84,scattered clouds
12,Tazovskiy,RU,2022-04-09 00:46:57,67.4667,78.7,-11.02,100,96,7.38,overcast clouds
13,Chokurdakh,RU,2022-04-09 00:46:57,70.6333,147.9167,-11.7,91,12,9.37,few clouds
14,Dingle,PH,2022-04-09 00:46:57,10.9995,122.6711,79.0,80,100,4.09,overcast clouds
15,Albany,US,2022-04-09 00:42:53,42.6001,-73.9662,48.92,75,56,3.27,broken clouds
16,Rawson,AR,2022-04-09 00:46:59,-43.3002,-65.1023,58.37,87,10,18.45,clear sky
17,Avarua,CK,2022-04-09 00:46:59,-21.2078,-159.775,86.05,74,100,11.5,overcast clouds
18,Ribeira Grande,PT,2022-04-09 00:46:59,38.5167,-28.7,58.66,74,14,31.7,few clouds
19,Binga,ZW,2022-04-09 00:47:00,-17.6203,27.3414,70.34,71,47,3.53,scattered clouds
20,Hermanus,ZA,2022-04-09 00:47:00,-34.4187,19.2345,57.79,77,16,22.53,few clouds
21,Monroe,US,2022-04-09 00:45:49,43.1501,-77.6831,45.5,76,75,5.75,broken clouds
22,Syamzha,RU,2022-04-09 00:47:01,60.0158,41.0614,38.7,92,100,12.33,overcast clouds
23,Busselton,AU,2022-04-09 00:47:01,-33.65,115.3333,61.02,59,23,10.47,few clouds
24,Bathsheba,BB,2022-04-09 00:47:01,13.2167,-59.5167,77.61,88,75,16.11,broken clouds
25,Acarau,BR,2022-04-09 00:45:35,-2.8856,-40.12,77.47,88,94,9.04,overcast clouds
26,Muros,ES,2022-04-09 00:47:03,42.7762,-9.0603,49.84,94,100,4.14,overcast clouds
27,Ahipara,NZ,2022-04-09 00:47:04,-35.1667,173.1667,71.44,49,3,5.75,clear sky
28,Khatanga,RU,2022-04-09 00:47:05,71.9667,102.5,4.69,95,77,3.47,broken clouds
29,Bielsk Podlaski,PL,2022-04-09 00:47:06,52.7651,23.1865,39.25,88,100,6.71,overcast clouds
30,Rozsypne,UA,2022-04-09 00:47:07,48.1497,38.5762,49.26,88,38,14.05,scattered clouds
31,Port Elizabeth,ZA,2022-04-09 00:47:07,-33.918,25.5701,59.09,96,75,3.44,broken clouds
