City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Kudymkar,RU,2022-04-06 00:44:09,59.0173,54.656,20.3,97,80,6.69
1,Yellowknife,CA,2022-04-06 00:44:09,62.456,-114.3525,30.42,70,75,9.22
2,Soyo,AO,2022-04-06 00:43:10,-6.1349,12.3689,76.93,90,100,7.14
3,Rikitea,PF,2022-04-06 00:44:10,-23.1203,-134.9692,79.18,66,87,16.69
4,Margate,GB,2022-04-06 00:44:10,51.3813,1.3862,50.31,72,84,22.95
5,Provideniya,RU,2022-04-06 00:44:10,64.3833,-173.3,15.91,57,0,8.95
6,Mapiripan,CO,2022-04-06 00:44:11,2.8892,-72.1256,74.1,97,100,5.21
7,Port Lincoln,AU,2022-04-06 00:44:11,-34.7333,135.8667,64.9,68,38,18.12
8,Ushuaia,AR,2022-04-06 00:44:07,-54.8,-68.3,37.06,87,40,25.32
9,Hermanus,ZA,2022-04-06 00:44:11,-34.4187,19.2345,61.81,80,65,15.82
10,Kruisfontein,ZA,2022-04-06 00:44:12,-34.0033,24.7314,61.88,75,98,12.21
11,Albany,US,2022-04-06 00:42:52,42.6001,-73.9662,54.25,59,100,5.55
12,Pecos,US,2022-04-06 00:44:12,31.4229,-103.4932,90.43,10,0,20.71
13,Puerto Ayora,EC,2022-04-06 00:44:13,-0.7393,-90.3518,78.06,86,25,7.09
14,Hobart,AU,2022-04-06 00:42:37,-42.8794,147.3294,59.05,57,75,4.61
15,Sorland,NO,2022-04-06 00:44:13,67.667,12.6934,33.64,58,100,14.9
16,Chapais,CA,2022-04-06 00:44:13,49.7834,-74.8492,29.98,92,16,3.56
17,Luderitz,NA,2022-04-06 00:44:14,-26.6481,15.1594,59.76,75,0,11.9
18,Lourdes,FR,2022-04-06 00:44:14,43.1,-0.05,36.88,87,0,5.75
19,Vaini,TO,2022-04-06 00:44:15,-21.2,-175.2,77.16,94,75,4.61
20,Rock Springs,US,2022-04-06 00:43:42,41.5875,-109.2029,35.04,72,75,24.16
21,Cherskiy,RU,2022-04-06 00:44:15,68.75,161.3,-1.1,88,89,4.76
22,Airai,TL,2022-04-06 00:44:15,-8.9266,125.4092,71.58,59,74,2.44
23,Sept-Iles,CA,2022-04-06 00:44:16,50.2001,-66.3821,32.52,43,20,5.75
24,Pueblo,US,2022-04-06 00:43:28,38.2545,-104.6091,61.79,26,40,19.57
25,Plastun,RU,2022-04-06 00:44:16,44.7561,136.2939,38.28,29,73,14.52
26,Atuona,PF,2022-04-06 00:44:18,-9.8,-139.0333,79.48,72,0,21.72
27,Butaritari,KI,2022-04-06 00:44:16,3.0707,172.7902,81.32,80,100,17.43
28,Berdigestyakh,RU,2022-04-06 00:44:19,62.0989,126.6992,7.81,89,100,9.04
29,Kapaa,US,2022-04-06 00:44:19,22.0752,-159.319,78.78,83,100,11.5
30,Emerald,AU,2022-04-06 00:44:19,-23.5333,148.1667,82.35,65,40,5.75
31,Chuy,UY,2022-04-06 00:44:20,-33.6971,-53.4616,56.79,71,0,6.64
32,Pimentel,PE,2022-04-06 00:44:20,-6.8367,-79.9342,70.07,81,44,14.52
33,Lazaro Cardenas,MX,2022-04-06 00:39:45,17.9583,-102.2,74.66,73,8,8.68
34,Busselton,AU,2022-04-06 00:44:21,-33.65,115.3333,62.98,61,98,8.99
35,San Patricio,US,2022-04-06 00:44:21,28.017,-97.5169,82.35,79,2,2.46
36,New Norfolk,AU,2022-04-06 00:44:21,-42.7826,147.0587,58.71,36,0,2.75
37,Vila Velha,BR,2022-04-06 00:43:05,-20.3297,-40.2925,80.55,85,0,5.75
38,Lima,PE,2022-04-06 00:40:50,-12.0432,-77.0282,75.9,65,0,12.66
39,Bud,US,2022-04-06 00:44:22,39.447,-86.1758,56.89,94,100,7.45
40,Walvis Bay,NA,2022-04-06 00:44:22,-22.9575,14.5053,56.35,82,5,4.61
41,Victoria,HK,2022-04-06 00:41:05,22.2855,114.1577,74.95,76,35,1.01
42,Hilo,US,2022-04-06 00:44:23,19.7297,-155.09,78.53,76,100,6.91
43,Mataura,NZ,2022-04-06 00:44:23,-46.1927,168.8643,50.31,78,99,12.73
44,Kaitangata,NZ,2022-04-06 00:40:28,-46.2817,169.8464,54.19,64,60,20.18
45,Dikson,RU,2022-04-06 00:45:24,73.5069,80.5464,-0.53,80,17,19.17
46,Coihaique,CL,2022-04-06 00:45:24,-45.5752,-72.0662,56.01,82,75,8.05
47,Bethel,US,2022-04-06 00:45:25,41.3712,-73.414,49.87,61,100,4.72
48,Poltavskaya,RU,2022-04-06 00:45:25,45.362,38.2154,38.01,91,1,2.75
49,Pemangkat,ID,2022-04-06 00:45:26,1.1667,108.9667,82.02,74,92,2.24
50,Matay,EG,2022-04-06 00:45:26,28.419,30.7792,78.8,9,76,1.7
51,Hofn,IS,2022-04-06 00:45:26,64.2539,-15.2082,32.02,51,20,18.41
52,Revelstoke,CA,2022-04-06 00:42:18,50.9832,-118.2023,41.02,87,100,3.44
53,Punta Arenas,CL,2022-04-06 00:45:27,-53.15,-70.9167,39.31,70,20,4.61
54,Terrace,CA,2022-04-06 00:45:27,54.5163,-128.6035,40.91,65,75,13.8
55,Savonlinna,FI,2022-04-06 00:45:28,61.8699,28.88,23.05,93,100,13.8
56,Los Llanos De Aridane,ES,2022-04-06 00:45:28,28.6585,-17.9182,58.75,78,75,18.41
57,Kaeo,NZ,2022-04-06 00:45:28,-35.1,173.7833,79.32,74,21,10.78
58,Lebu,CL,2022-04-06 00:45:28,-37.6167,-73.65,54.57,94,100,8.3
59,Barrow,US,2022-04-06 00:40:47,71.2906,-156.7887,-11.18,77,0,5.75
60,Bredasdorp,ZA,2022-04-06 00:45:29,-34.5322,20.0403,58.37,74,21,13.18
61,Sinnamary,GF,2022-04-06 00:45:29,5.3833,-52.95,77.38,87,82,11.16
62,Ancud,CL,2022-04-06 00:45:30,-41.8697,-73.8203,58.23,92,100,16.11
63,Castro,BR,2022-04-06 00:40:35,-24.7911,-50.0119,63.52,97,72,5.03
64,Cabo San Lucas,MX,2022-04-06 00:44:46,22.8909,-109.9124,75.61,74,0,8.01
65,Balkanabat,TM,2022-04-06 00:45:30,39.5108,54.3671,57.33,60,95,1.32
66,Tasiilaq,GL,2022-04-06 00:45:31,65.6145,-37.6368,17.76,90,47,7.09
67,Severo-Kurilsk,RU,2022-04-06 00:45:31,50.6789,156.125,36.55,91,51,2.17
68,Samarai,PG,2022-04-06 00:45:31,-10.6167,150.6667,81.5,77,100,14.12
69,Catanduva,BR,2022-04-06 00:45:32,-21.1378,-48.9728,74.01,80,13,6.17
70,Souillac,MU,2022-04-06 00:45:32,-20.5167,57.5167,79.18,89,40,8.05
71,Arroyos Y Esteros,PY,2022-04-06 00:45:32,-25.0667,-57.1,71.35,96,31,4.23
72,Tuktoyaktuk,CA,2022-04-06 00:45:33,69.4541,-133.0374,-5.8,71,20,9.22
73,Kawalu,ID,2022-04-06 00:45:33,-7.3817,108.2082,77.29,82,87,2.17
74,Bluff,NZ,2022-04-06 00:45:33,-46.6,168.3333,52.88,69,86,33.51
75,Ekuvukeni,ZA,2022-04-06 00:45:34,-28.4675,30.1551,57.94,58,34,1.63
76,Solone,UA,2022-04-06 00:45:34,48.2081,34.8721,41.13,91,99,14.99
77,Isangel,VU,2022-04-06 00:45:34,-19.55,169.2667,84.31,79,100,4.61
78,Flinders,AU,2022-04-06 00:45:35,-34.5833,150.8552,67.17,91,100,5.99
79,Half Moon Bay,US,2022-04-06 00:45:35,37.4636,-122.4286,71.51,63,0,23.02
80,Jumla,NP,2022-04-06 00:45:35,29.2747,82.1838,49.8,26,9,5.26
81,Marsh Harbour,BS,2022-04-06 00:45:36,26.5412,-77.0636,76.71,83,6,13.8
82,Mahebourg,MU,2022-04-06 00:45:36,-20.4081,57.7,79.09,89,40,8.05
83,Sao Joao Da Barra,BR,2022-04-06 00:45:36,-21.6403,-41.0511,75.83,93,51,8.23
84,Nizhniy Tsasuchey,RU,2022-04-06 00:45:37,50.5167,115.1333,28.65,26,100,6.11
85,Palmas,BR,2022-04-06 00:45:37,-10.2128,-48.3603,80.47,83,0,5.75
86,Saint-Philippe,RE,2022-04-06 00:45:37,-21.3585,55.7679,75.22,88,100,9.4
87,Shimoda,JP,2022-04-06 00:45:38,34.6667,138.95,65.1,59,100,12.62
88,Padang,ID,2022-04-06 00:45:38,-0.9492,100.3543,77.05,79,90,3.31
89,Carnarvon,AU,2022-04-06 00:46:38,-24.8667,113.6333,77.07,61,0,11.5
